MOVIES,SENTENCE,tag,word
,,NN,circle
,,IN,of
,,NN,teenage
,,NNS,friends
,,RB,accidentally
,,VBP,encounter
,,DT,the
,,JJ,ancient
,,NN,evil
,,JJ,responsible
,,IN,for
,,DT,a
,,NN,series
,,IN,of
,,JJ,brutal
,,NNS,murders
,,WDT,that
,,VBP,have
,,VBN,plagued
,,PRP$,their
,,NN,town
,,IN,for
,,IN,over
,,CD,300
,,NNS,years
,,JJ,welcome
,,TO,to
,,VB,shadyside
Sex/Life,SENTENCE  #13,DT,a
,,JJ,suburban
,,NN,mother
,,IN,of
,,CD,two
,,VBZ,takes
,,DT,a
,,NN,fantasy
,,VBN,charged
,,NN,trip
,,RP,down
,,NN,memory
,,NN,lane
,,WDT,that
,,VBZ,sets
,,PRP$,her
,,RB,very
,,JJ,married
,,NN,present
,,IN,on
,,DT,a
,,NN,collision
,,NN,course
,,IN,with
,,PRP$,her
,,JJ,wild
,,NN,child
,,NN,past
American Horror Story,SENTENCE  #14,DT,an
,,NN,anthology
,,NN,series
,,VBG,centering
,,IN,on
,,JJ,different
,,NNS,characters
,,CC,and
,,NNS,locations
,,VBG,including
,,DT,a
,,NN,house
,,IN,with
,,DT,a
,,JJ,murderous
,,IN,past
,,DT,an
,,NN,insane
,,NN,asylum
,,DT,a
,,NN,witch
,,NN,coven
,,DT,a
,,NN,freak
,,NN,show
,,VBZ,circus
,,DT,a
,,JJ,haunted
,,NN,hotel
,,DT,a
,,VBN,possessed
,,NN,farmhouse
,,DT,a
,,NN,cult
,,DT,the
,,NN,apocalypse
,,CC,and
,,DT,a
,,NN,slasher
,,NN,summer
,,NN,camp
Grey's Anatomy,SENTENCE  #15,DT,a
,,NN,drama
,,VBN,centered
,,IN,on
,,DT,the
,,JJ,personal
,,CC,and
,,JJ,professional
,,NNS,lives
,,IN,of
,,CD,five
,,JJ,surgical
,,NNS,interns
,,CC,and
,,PRP$,their
,,NNS,supervisors
Breaking Bad,SENTENCE  #16,DT,a
,,JJ,high
,,NN,school
,,NN,chemistry
,,NN,teacher
,,VBN,diagnosed
,,IN,with
,,JJ,inoperable
,,NN,lung
,,NN,cancer
,,VBZ,turns
,,TO,to
,,VBG,manufacturing
,,CC,and
,,VBG,selling
,,NN,methamphetamine
,,IN,in
,,NN,order
,,TO,to
,,VB,secure
,,PRP$,his
,,NN,family
,,VBZ,s
,,NN,future
The Good Doctor,SENTENCE  #17,NN,shaun
,,NN,murphy
,,DT,a
,,JJ,young
,,NN,surgeon
,,IN,with
,,NN,autism
,,CC,and
,,JJ,savant
,,NN,syndrome
,,VBZ,is
,,VBN,recruited
,,IN,into
,,DT,the
,,JJ,surgical
,,NN,unit
,,IN,of
,,DT,a
,,JJ,prestigious
,,NN,hospital
Atypical,SENTENCE  #18,VB,sam
,,DT,an
,,CD,18
,,NN,year
,,JJ,old
,,IN,on
,,DT,the
,,NN,autism
,,NN,spectrum
,,VBZ,decides
,,PRP,it
,,JJ,s
,,NN,time
,,TO,to
,,VB,find
,,DT,a
,,NN,girlfriend
,,DT,a
,,NN,journey
,,WDT,that
,,VBZ,sets
,,JJ,sam
,,JJ,s
,,NN,mom
,,IN,on
,,PRP$,her
,,JJ,own
,,NN,life
,,VBG,changing
,,NN,path
,,IN,as
,,PRP$,her
,,NN,son
,,VBZ,seeks
,,JJR,more
,,NN,independence
Stranger Things,SENTENCE  #19,WRB,when
,,DT,a
,,JJ,young
,,NN,boy
,,VBZ,disappears
,,PRP$,his
,,NN,mother
,,DT,a
,,NN,police
,,NN,chief
,,CC,and
,,PRP$,his
,,NNS,friends
,,MD,must
,,VB,confront
,,VBG,terrifying
,,JJ,supernatural
,,NNS,forces
,,IN,in
,,NN,order
,,TO,to
,,VB,get
,,PRP,him
,,RB,back
Fear Street: 1978,SENTENCE  #20,NN,shadyside
,,CD,1978
,,NN,school
,,VBD,s
,,RP,out
,,IN,for
,,NN,summer
,,CC,and
,,DT,the
,,NNS,activities
,,IN,at
,,NN,camp
,,NN,nightwing
,,VBP,are
,,IN,about
,,TO,to
,,VB,begin
,,CC,but
,,WRB,when
,,DT,another
,,NN,shadysider
,,VBZ,is
,,VBN,possessed
,,IN,with
,,DT,the
,,NN,urge
,,TO,to
,,VB,kill
,,DT,the
,,NN,fun
,,IN,in
,,DT,the
,,NN,sun
,,VBZ,becomes
,,DT,a
,,JJ,gruesome
,,NN,fight
,,IN,for
,,NN,survival
Friends,SENTENCE  #21,VBZ,follows
,,DT,the
,,JJ,personal
,,CC,and
,,JJ,professional
,,NNS,lives
,,IN,of
,,CD,six
,,NN,twenty
,,TO,to
,,VB,thirty
,,NN,something
,,NN,year
,,JJ,old
,,NNS,friends
,,VBG,living
,,IN,in
,,NN,manhattan
The Flash,SENTENCE  #22,IN,after
,,VBG,being
,,VBN,struck
,,IN,by
,,VBG,lightning
,,NN,barry
,,NN,allen
,,VBZ,wakes
,,RP,up
,,IN,from
,,PRP$,his
,,NN,coma
,,TO,to
,,VB,discover
,,PRP,he
,,VB,s
,,VBN,been
,,VBN,given
,,DT,the
,,NN,power
,,IN,of
,,JJ,super
,,NN,speed
,,VBG,becoming
,,DT,the
,,JJ,next
,,NN,flash
,,VBG,fighting
,,NN,crime
,,IN,in
,,JJ,central
,,NN,city
Peaky Blinders,SENTENCE  #23,DT,a
,,NN,gangster
,,NN,family
,,NN,epic
,,VBN,set
,,IN,in
,,CD,1900s
,,NN,england
,,VBG,centering
,,IN,on
,,DT,a
,,NN,gang
,,WP,who
,,VBZ,sew
,,NN,razor
,,NNS,blades
,,IN,in
,,DT,the
,,NNS,peaks
,,IN,of
,,PRP$,their
,,NNS,caps
,,CC,and
,,PRP$,their
,,JJ,fierce
,,NN,boss
,,NN,tommy
,,NN,shelby
He-Man and the Masters of the Universe,SENTENCE  #24,NN,eternia
,,NN,s
,,NN,prince
,,NN,adam
,,VBZ,discovers
,,DT,the
,,NN,power
,,IN,of
,,NN,grayskull
,,CC,and
,,NNS,transforms
,,IN,into
,,PRP,he
,,NN,man
,,NN,master
,,IN,of
,,DT,the
,,NN,universe
,,DT,a
,,NN,reimagining
,,IN,of
,,DT,the
,,JJ,classic
,,JJ,animated
,,NN,series
Chernobyl,SENTENCE  #25,DT,a
,,NN,story
,,IN,about
,,DT,a
,,JJ,heroic
,,NN,fireman
,,WP,who
,,VBD,worked
,,IN,as
,,CD,one
,,IN,of
,,NN,chernobyl
,,NNS,liquidators
Vikings,SENTENCE  #26,NNS,vikings
,,VBZ,transports
,,PRP,us
,,TO,to
,,DT,the
,,NN,brutal
,,CC,and
,,JJ,mysterious
,,NN,world
,,IN,of
,,NN,ragnar
,,NN,lothbrok
,,DT,a
,,NN,viking
,,NN,warrior
,,CC,and
,,NN,farmer
,,WP,who
,,VBZ,yearns
,,TO,to
,,VB,explore
,,CC,and
,,VB,raid
,,DT,the
,,JJ,distant
,,NNS,shores
,,IN,across
,,DT,the
,,NN,ocean
Better Call Saul,SENTENCE  #27,DT,the
,,NNS,trials
,,CC,and
,,NNS,tribulations
,,IN,of
,,JJ,criminal
,,NN,lawyer
,,NN,jimmy
,,NN,mcgill
,,IN,in
,,DT,the
,,NN,time
,,IN,before
,,PRP,he
,,VBD,established
,,PRP$,his
,,NN,strip
,,NN,mall
,,NN,law
,,NN,office
,,IN,in
,,JJ,albuquerque
,,JJ,new
,,NN,mexico
Supernatural,SENTENCE  #28,CD,two
,,NNS,brothers
,,VBP,follow
,,PRP$,their
,,NN,father
,,NN,s
,,NNS,footsteps
,,IN,as
,,NNS,hunters
,,VBG,fighting
,,JJ,evil
,,JJ,supernatural
,,NNS,beings
,,IN,of
,,JJ,many
,,NNS,kinds
,,VBG,including
,,NNS,monsters
,,NNS,demons
,,CC,and
,,NNS,gods
,,WDT,that
,,VBP,roam
,,DT,the
,,NN,earth
The Blacklist,SENTENCE  #29,DT,a
,,JJ,new
,,NN,fbi
,,NN,profiler
,,NN,elizabeth
,,NN,keen
,,VBZ,has
,,PRP$,her
,,JJ,entire
,,NN,life
,,VBD,uprooted
,,WRB,when
,,DT,a
,,JJ,mysterious
,,JJ,criminal
,,NN,raymond
,,NN,reddington
,,WP,who
,,VBZ,has
,,VBN,eluded
,,NN,capture
,,IN,for
,,NNS,decades
,,NNS,turns
,,PRP,himself
,,IN,in
,,CC,and
,,NNS,insists
,,IN,on
,,VBG,speaking
,,RB,only
,,TO,to
,,PRP$,her
Fear Street: 1666,SENTENCE  #30,DT,the
,,NNS,origins
,,IN,of
,,NN,sarah
,,NN,fier
,,JJ,s
,,NN,curse
,,VBP,are
,,RB,finally
,,VBN,revealed
,,IN,as
,,NN,history
,,VBZ,comes
,,JJ,full
,,NN,circle
,,IN,on
,,DT,a
,,NN,night
,,WDT,that
,,VBZ,changes
,,DT,the
,,NNS,lives
,,IN,of
,,NNS,shadysiders
,,RB,forever
Animal Kingdom,SENTENCE  #31,NNS,centers
,,IN,on
,,DT,a
,,JJ,southern
,,NN,california
,,NN,family
,,WP$,whose
,,JJ,excessive
,,NN,lifestyle
,,VBZ,is
,,VBN,fueled
,,IN,by
,,PRP$,their
,,JJ,criminal
,,NNS,activities
Brooklyn Nine-Nine,SENTENCE  #32,NN,comedy
,,NN,series
,,VBG,following
,,DT,the
,,NNS,exploits
,,IN,of
,,JJ,det
,,NN,jake
,,NN,peralta
,,CC,and
,,PRP$,his
,,NN,diverse
,,JJ,lovable
,,NNS,colleagues
,,IN,as
,,PRP,they
,,VBP,police
,,DT,the
,,NN,nypd
,,VBD,s
,,CD,99th
,,NN,precinct
NCIS: Naval Criminal Investigative Service,SENTENCE  #33,DT,the
,,NNS,cases
,,IN,of
,,DT,the
,,JJ,naval
,,JJ,criminal
,,JJ,investigative
,,NN,service
,,VBP,s
,,NN,washington
,,NN,d
,,NN,c
,,JJ,major
,,NN,case
,,NN,response
,,NN,team
,,VBN,led
,,IN,by
,,JJ,special
,,NN,agent
,,NN,leroy
,,NN,jethro
,,NN,gibbs
Kingdom,SENTENCE  #34,IN,while
,,JJ,strange
,,NNS,rumors
,,IN,about
,,PRP$,their
,,NN,ill
,,VBG,king
,,NN,grip
,,DT,a
,,NN,kingdom
,,DT,the
,,JJ,crown
,,NN,prince
,,VBZ,becomes
,,PRP$,their
,,JJ,only
,,NN,hope
,,IN,against
,,DT,a
,,JJ,mysterious
,,NN,plague
,,VBG,overtaking
,,DT,the
,,NN,land
Modern Family,SENTENCE  #35,CD,three
,,JJ,different
,,CC,but
,,JJ,related
,,NNS,families
,,VBP,face
,,NNS,trials
,,CC,and
,,NNS,tribulations
,,IN,in
,,PRP$,their
,,JJ,own
,,RB,uniquely
,,JJ,comedic
,,NNS,ways
Titans,SENTENCE  #36,DT,a
,,NN,team
,,IN,of
,,JJ,young
,,NNS,superheroes
,,VB,combat
,,NNS,evil
,,CC,and
,,JJ,other
,,NNS,perils
The Witcher,SENTENCE  #37,NN,geralt
,,IN,of
,,NN,rivia
,,DT,a
,,JJ,solitary
,,NN,monster
,,NN,hunter
,,VBZ,struggles
,,TO,to
,,VB,find
,,PRP$,his
,,NN,place
,,IN,in
,,DT,a
,,NN,world
,,WRB,where
,,NNS,people
,,RB,often
,,VBP,prove
,,RBR,more
,,JJ,wicked
,,IN,than
,,NNS,beasts
Downton Abbey,SENTENCE  #38,DT,a
,,NN,chronicle
,,IN,of
,,DT,the
,,NNS,lives
,,IN,of
,,DT,the
,,JJ,british
,,JJ,aristocratic
,,NN,crawley
,,NN,family
,,CC,and
,,PRP$,their
,,NNS,servants
,,IN,in
,,DT,the
,,JJ,early
,,JJ,twentieth
,,NN,century
Shingeki no kyojin,SENTENCE  #39,IN,after
,,PRP$,his
,,NN,hometown
,,VBZ,is
,,VBN,destroyed
,,CC,and
,,PRP$,his
,,NN,mother
,,VBZ,is
,,VBN,killed
,,JJ,young
,,NNS,eren
,,NN,jaeger
,,VBZ,vows
,,TO,to
,,VB,cleanse
,,DT,the
,,NN,earth
,,IN,of
,,DT,the
,,JJ,giant
,,NN,humanoid
,,NNS,titans
,,WDT,that
,,VBP,have
,,VBN,brought
,,NN,humanity
,,TO,to
,,DT,the
,,NN,brink
,,IN,of
,,NN,extinction
Suits,SENTENCE  #40,IN,on
,,DT,the
,,NN,run
,,IN,from
,,DT,a
,,NN,drug
,,NN,deal
,,VBN,gone
,,JJ,bad
,,JJ,brilliant
,,NN,college
,,IN,dropout
,,JJ,mike
,,NN,ross
,,VBZ,finds
,,PRP,himself
,,VBG,working
,,IN,with
,,JJ,harvey
,,NN,specter
,,CD,one
,,IN,of
,,JJ,new
,,NN,york
,,NN,city
,,NN,s
,,JJS,best
,,NNS,lawyers
La casa de papel,SENTENCE  #41,DT,an
,,JJ,unusual
,,NN,group
,,IN,of
,,NNS,robbers
,,VBP,attempt
,,TO,to
,,VB,carry
,,RP,out
,,DT,the
,,RBS,most
,,JJ,perfect
,,NN,robbery
,,IN,in
,,JJ,spanish
,,NN,history
,,VBG,stealing
,,CD,2
,,CD,4
,,CD,billion
,,NNS,euros
,,IN,from
,,DT,the
,,JJ,royal
,,NN,mint
,,IN,of
,,NN,spain
Schitt's Creek,SENTENCE  #42,WRB,when
,,JJ,rich
,,NN,video
,,NN,store
,,NN,magnate
,,NN,johnny
,,VBD,rose
,,CC,and
,,PRP$,his
,,NN,family
,,RB,suddenly
,,VBP,find
,,PRP,themselves
,,VBD,broke
,,PRP,they
,,VBP,are
,,VBN,forced
,,TO,to
,,VB,leave
,,PRP$,their
,,JJ,pampered
,,NNS,lives
,,TO,to
,,VB,regroup
,,IN,in
,,JJ,schitt
,,NN,s
,,NN,creek
Outlander,SENTENCE  #43,DT,an
,,JJ,english
,,NN,combat
,,NN,nurse
,,IN,from
,,CD,1945
,,VBZ,is
,,RB,mysteriously
,,VBN,swept
,,RB,back
,,IN,in
,,NN,time
,,TO,to
,,CD,1743
The Last Kingdom,SENTENCE  #44,IN,as
,,VBN,alfred
,,DT,the
,,JJ,great
,,VBZ,defends
,,PRP$,his
,,NN,kingdom
,,IN,from
,,JJ,norse
,,NNS,invaders
,,VBD,uhtred
,,RP,born
,,DT,a
,,NN,saxon
,,CC,but
,,VBN,raised
,,IN,by
,,NNS,vikings
,,NNS,seeks
,,TO,to
,,VB,claim
,,PRP$,his
,,JJ,ancestral
,,NN,birthright
Black Mirror,SENTENCE  #45,DT,an
,,NN,anthology
,,NN,series
,,VBG,exploring
,,DT,a
,,JJ,twisted
,,JJ,high
,,NN,tech
,,NN,multiverse
,,WRB,where
,,NN,humanity
,,VBZ,s
,,JJS,greatest
,,NNS,innovations
,,CC,and
,,JJS,darkest
,,NNS,instincts
,,VBP,collide
Ozark,SENTENCE  #46,DT,a
,,JJ,financial
,,NN,advisor
,,VBZ,drags
,,PRP$,his
,,NN,family
,,IN,from
,,NN,chicago
,,TO,to
,,DT,the
,,NN,missouri
,,VBZ,ozarks
,,WRB,where
,,PRP,he
,,MD,must
,,VB,launder
,,NN,money
,,TO,to
,,VB,appease
,,DT,a
,,NN,drug
,,NN,boss
The Crown,SENTENCE  #47,VBZ,follows
,,DT,the
,,JJ,political
,,NNS,rivalries
,,CC,and
,,NN,romance
,,IN,of
,,JJ,queen
,,FW,elizabeth
,,NN,ii
,,NN,s
,,NN,reign
,,CC,and
,,DT,the
,,NNS,events
,,WDT,that
,,VBD,shaped
,,DT,the
,,JJ,second
,,NN,half
,,IN,of
,,DT,the
,,JJ,twentieth
,,NN,century
Sweet Tooth,SENTENCE  #48,DT,a
,,NN,boy
,,WP,who
,,VBZ,is
,,DT,half
,,JJ,human
,,CC,and
,,NN,half
,,NN,deer
,,VBZ,survives
,,IN,in
,,DT,a
,,NN,post
,,JJ,apocalyptic
,,NN,world
,,IN,with
,,JJ,other
,,NNS,hybrids
Army of the Dead,SENTENCE  #49,VBG,following
,,DT,a
,,JJ,zombie
,,NN,outbreak
,,IN,in
,,NN,las
,,IN,vegas
,,DT,a
,,NN,group
,,IN,of
,,NNS,mercenaries
,,VBP,take
,,DT,the
,,JJ,ultimate
,,NN,gamble
,,VBG,venturing
,,IN,into
,,DT,the
,,NN,quarantine
,,NN,zone
,,TO,to
,,VB,pull
,,RP,off
,,DT,the
,,JJS,greatest
,,NN,heist
,,RB,ever
,,VBD,attempted
Fargo,SENTENCE  #50,JJ,various
,,NNS,chronicles
,,IN,of
,,NN,deception
,,NN,intrigue
,,CC,and
,,NN,murder
,,IN,in
,,CC,and
,,IN,around
,,JJ,frozen
,,NN,minnesota
,,RB,yet
,,DT,all
,,IN,of
,,DT,these
,,NNS,tales
,,RB,mysteriously
,,VBP,lead
,,RB,back
,,CD,one
,,NN,way
,,CC,or
,,DT,another
,,TO,to
,,VB,fargo
,,JJ,north
,,NN,dakota
How I Met Your Mother,SENTENCE  #51,DT,a
,,NN,father
,,VBZ,recounts
,,TO,to
,,PRP$,his
,,NNS,children
,,IN,through
,,DT,a
,,NN,series
,,IN,of
,,NNS,flashbacks
,,DT,the
,,NN,journey
,,PRP,he
,,CC,and
,,PRP$,his
,,CD,four
,,JJS,best
,,NNS,friends
,,VBD,took
,,VBG,leading
,,RP,up
,,TO,to
,,PRP,him
,,VBG,meeting
,,PRP$,their
,,NN,mother
Community,SENTENCE  #52,DT,a
,,JJ,suspended
,,NN,lawyer
,,VBZ,is
,,VBN,forced
,,TO,to
,,VB,enroll
,,IN,in
,,DT,a
,,NN,community
,,NN,college
,,IN,with
,,DT,an
,,JJ,eccentric
,,NN,staff
,,CC,and
,,NN,student
,,NN,body
Sons of Anarchy,SENTENCE  #53,DT,a
,,NN,biker
,,VBZ,struggles
,,TO,to
,,VB,balance
,,VBG,being
,,DT,a
,,NN,father
,,CC,and
,,VBG,being
,,VBN,involved
,,IN,in
,,DT,an
,,NN,outlaw
,,NN,motorcycle
,,NN,club
StartUp,SENTENCE  #54,DT,a
,,JJ,desperate
,,NN,banker
,,DT,a
,,JJ,haitian
,,JJ,american
,,NN,gang
,,NN,lord
,,CC,and
,,DT,a
,,JJ,cuban
,,JJ,american
,,NN,hacker
,,VBP,are
,,VBN,forced
,,TO,to
,,VB,work
,,RB,together
,,TO,to
,,RB,unwittingly
,,VB,create
,,PRP$,their
,,NN,version
,,IN,of
,,DT,the
,,JJ,american
,,NN,dream
,,VBD,organized
,,NN,crime
,,CD,2
,,CD,0
The Vampire Diaries,SENTENCE  #55,DT,the
,,NNS,lives
,,VBZ,loves
,,NNS,dangers
,,CC,and
,,NNS,disasters
,,IN,in
,,DT,the
,,NN,town
,,JJ,mystic
,,NNS,falls
,,JJ,virginia
,,NNS,creatures
,,IN,of
,,JJ,unspeakable
,,NN,horror
,,VBZ,lurk
,,IN,beneath
,,DT,this
,,NN,town
,,IN,as
,,DT,a
,,NN,teenage
,,NN,girl
,,VBZ,is
,,RB,suddenly
,,VBN,torn
,,IN,between
,,CD,two
,,NN,vampire
,,NNS,brothers
365 dni,SENTENCE  #56,NN,massimo
,,VBZ,is
,,DT,a
,,NN,member
,,IN,of
,,DT,the
,,JJ,sicilian
,,NN,mafia
,,NN,family
,,CC,and
,,NN,laura
,,VBZ,is
,,DT,a
,,NNS,sales
,,NN,director
,,PRP,she
,,VBZ,does
,,RB,not
,,VB,expect
,,IN,that
,,IN,on
,,DT,a
,,NN,trip
,,TO,to
,,RB,sicily
,,VBG,trying
,,TO,to
,,VB,save
,,PRP$,her
,,NN,relationship
,,NN,massimo
,,MD,will
,,VB,kidnap
,,PRP$,her
,,CC,and
,,VB,give
,,PRP$,her
,,CD,365
,,NNS,days
,,TO,to
,,VB,fall
,,IN,in
,,NN,love
,,IN,with
,,PRP,him
How to Sell Drugs Online (Fast),SENTENCE  #57,TO,to
,,VB,win
,,RP,back
,,DT,the
,,NN,love
,,IN,of
,,PRP$,his
,,NN,life
,,DT,a
,,JJ,high
,,NN,school
,,NN,student
,,CC,and
,,PRP$,his
,,JJS,best
,,NN,friend
,,NN,launch
,,VBP,europe
,,RB,s
,,JJS,largest
,,JJ,online
,,NN,drug
,,NN,business
,,IN,from
,,PRP$,their
,,NN,teenage
,,NN,bedroom
Good Girls,SENTENCE  #58,CD,three
,,JJ,suburban
,,NNS,mothers
,,RB,suddenly
,,VBP,find
,,PRP,themselves
,,IN,in
,,JJ,desperate
,,NNS,circumstances
,,CC,and
,,VB,decide
,,TO,to
,,VB,stop
,,VBG,playing
,,PRP,it
,,JJ,safe
,,CC,and
,,NN,risk
,,NN,everything
,,TO,to
,,VB,take
,,PRP$,their
,,NN,power
,,RB,back
13 Reasons Why,SENTENCE  #59,VBZ,follows
,,NN,teenager
,,NN,clay
,,NN,jensen
,,IN,in
,,PRP$,his
,,NN,quest
,,TO,to
,,VB,uncover
,,DT,the
,,NN,story
,,IN,behind
,,PRP$,his
,,NN,classmate
,,CC,and
,,NN,crush
,,NN,hannah
,,CC,and
,,PRP$,her
,,NN,decision
,,TO,to
,,VB,end
,,PRP,her
,,NN,life
The Queen's Gambit,SENTENCE  #60,VBN,orphaned
,,IN,at
,,DT,the
,,NN,tender
,,NN,age
,,IN,of
,,CD,nine
,,JJ,prodigious
,,JJ,introvert
,,NN,beth
,,NN,harmon
,,NNS,discovers
,,CC,and
,,NNS,masters
,,DT,the
,,NN,game
,,IN,of
,,NN,chess
,,IN,in
,,CD,1960s
,,JJ,usa
,,CC,but
,,JJ,child
,,NN,stardom
,,VBZ,comes
,,IN,at
,,DT,a
,,NN,price
Legends of Tomorrow,SENTENCE  #61,NN,time
,,VBG,travelling
,,JJ,rogue
,,NN,rip
,,NN,hunter
,,VBZ,has
,,TO,to
,,VB,recruit
,,DT,a
,,NN,rag
,,NN,tag
,,NN,team
,,IN,of
,,NNS,heroes
,,CC,and
,,NNS,villains
,,TO,to
,,VB,help
,,VB,prevent
,,DT,an
,,NN,apocalypse
,,WDT,that
,,MD,could
,,VB,impact
,,RB,not
,,RB,only
,,NN,earth
,,CC,but
,,DT,all
,,IN,of
,,NN,time
Star Trek: The Next Generation,SENTENCE  #62,VBN,set
,,RB,almost
,,CD,100
,,NNS,years
,,IN,after
,,NN,captain
,,NN,kirk
,,NN,s
,,CD,five
,,NN,year
,,NN,mission
,,DT,a
,,JJ,new
,,NN,generation
,,IN,of
,,NN,starfleet
,,NNS,officers
,,VBD,set
,,RP,off
,,IN,in
,,DT,the
,,JJ,u
,,NN,s
,,NN,s
,,NN,enterprise
,,NN,d
,,IN,on
